Dissimilarity,weight,Long,Lat,Long,Lat,precip_PET_ratio,Isothermallity,Min_Temp_July,jan_rad,bulk_density,solpawhc,precip_PET_ratio,Isothermallity,Min_Temp_July,jan_rad,bulk_density,solpawhc
0.929292929292929,1,146.48125,-43.52875,147.01875,-42.75625,2.123885592,0.499,4.107,18.5,1.38581,152,0.570750611,0.517,1.655,23.08,1.61695,79
0.986301369863014,1,146.48125,-43.52875,147.47125,-42.73375,2.123885592,0.499,4.107,18.5,1.38581,152,0.540430028,0.516,3.114,22.61,1.49819,70
0.906432748538012,1,146.48125,-43.52875,147.08125,-42.71625,2.123885592,0.499,4.107,18.5,1.38581,152,0.74190611,0.509,1.487,21.56,1.56869,103
0.964285714285714,1,146.48125,-43.52875,147.74375,-42.70875,2.123885592,0.499,4.107,18.5,1.38581,152,0.859497991,0.503,2.975,20.41,1.31624,166
0.89247311827957,1,146.48125,-43.52875,147.73875,-42.70625,2.123885592,0.499,4.107,18.5,1.38581,152,0.847947907,0.504,2.999,20.77,1.31624,166
0.935483870967742,1,146.48125,-43.52875,147.73875,-42.70375,2.123885592,0.499,4.107,18.5,1.38581,152,0.846866729,0.504,2.987,21,1.31624,166
0.955801104972376,1,146.48125,-43.52875,147.26625,-42.69375,2.123885592,0.499,4.107,18.5,1.38581,152,0.502142299,0.518,2.7,23.59,1.53221,62
1,1,146.48125,-43.52875,147.55875,-42.69125,2.123885592,0.499,4.107,18.5,1.38581,152,0.665424051,0.512,2.84,21.67,1.6425,53
0.87378640776699,1,146.48125,-43.52875,146.58125,-42.67875,2.123885592,0.499,4.107,18.5,1.38581,152,2.319956151,0.435,-1.109,18.63,1.13133,189
0.920792079207921,1,146.48125,-43.52875,147.27625,-42.67875,2.123885592,0.499,4.107,18.5,1.38581,152,0.505087084,0.518,2.623,23.25,1.53221,62
0.89261744966443,1,146.48125,-43.52875,147.88125,-42.67875,2.123885592,0.499,4.107,18.5,1.38581,152,0.638390791,0.517,4.048,22.32,1.6425,53
0.945205479452055,1,146.48125,-43.52875,146.55875,-42.67125,2.123885592,0.499,4.107,18.5,1.38581,152,2.583045894,0.414,-1.592,18.82,1.13133,189
0.687116564417178,1,146.48125,-43.52875,146.60625,-42.66375,2.123885592,0.499,4.107,18.5,1.38581,152,2.06953421,0.454,-0.645,19.91,1.13133,189
0.903225806451613,1,146.48125,-43.52875,147.58875,-42.66375,2.123885592,0.499,4.107,18.5,1.38581,152,0.841487112,0.499,2.108,21.45,1.6425,53
0.940119760479042,1,146.48125,-43.52875,147.63125,-42.64125,2.123885592,0.499,4.107,18.5,1.38581,152,0.727018895,0.511,2.683,21.96,1.6425,53
0.965909090909091,1,146.48125,-43.52875,147.62125,-42.63375,2.123885592,0.499,4.107,18.5,1.38581,152,0.759109809,0.507,2.435,21.31,1.6425,53
0.937823834196891,1,146.48125,-43.52875,147.61875,-42.63125,2.123885592,0.499,4.107,18.5,1.38581,152,0.764726663,0.507,2.381,20.96,1.6425,53
0.923913043478261,1,146.48125,-43.52875,147.62375,-42.62875,2.123885592,0.499,4.107,18.5,1.38581,152,0.772799052,0.506,2.346,21.51,1.6425,53
0.986301369863014,1,146.48125,-43.52875,147.63625,-42.61875,2.123885592,0.499,4.107,18.5,1.38581,152,0.753191689,0.508,2.437,21.69,1.6425,53
0.973154362416107,1,146.48125,-43.52875,147.79125,-42.59875,2.123885592,0.499,4.107,18.5,1.38581,152,0.614204562,0.518,3.392,22.28,1.61695,79
0.869731800766284,1,146.48125,-43.52875,147.80125,-42.58625,2.123885592,0.499,4.107,18.5,1.38581,152,0.611714889,0.518,3.364,22.29,1.61695,79
0.94047619047619,1,146.48125,-43.52875,147.82875,-42.58375,2.123885592,0.499,4.107,18.5,1.38581,152,0.68830578,0.513,3.154,21.37,1.6425,53
0.976331360946746,1,146.48125,-43.52875,147.41125,-42.57875,2.123885592,0.499,4.107,18.5,1.38581,152,0.498801655,0.52,2.425,22.5,1.58424,85
0.922705314009662,1,146.48125,-43.52875,147.82875,-42.56125,2.123885592,0.499,4.107,18.5,1.38581,152,0.595902659,0.518,3.378,22,1.6425,53
0.671052631578947,1,146.48125,-43.52875,146.30875,-42.55625,2.123885592,0.499,4.107,18.5,1.38581,152,2.335840831,0.49,0.433,18.62,1.38581,152
0.951219512195122,1,146.48125,-43.52875,147.86875,-42.55125,2.123885592,0.499,4.107,18.5,1.38581,152,0.610003172,0.517,3.401,21.41,1.6425,53
0.565217391304348,1,146.48125,-43.52875,145.48125,-42.54875,2.123885592,0.499,4.107,18.5,1.38581,152,2.415855355,0.518,4.805,18.72,1.38581,152
0.869047619047619,1,146.48125,-43.52875,147.29875,-42.54125,2.123885592,0.499,4.107,18.5,1.38581,152,0.906774908,0.486,0.386,20.83,1.6425,53
0.916167664670659,1,146.48125,-43.52875,147.31875,-42.52375,2.123885592,0.499,4.107,18.5,1.38581,152,0.625145587,0.51,1.326,22.5,1.56869,103
0.954802259887006,1,146.48125,-43.52875,147.71125,-42.48625,2.123885592,0.499,4.107,18.5,1.38581,152,0.687469821,0.512,2.178,21.68,1.56869,103
0.933333333333333,1,146.48125,-43.52875,147.28375,-42.41125,2.123885592,0.499,4.107,18.5,1.38581,152,0.673949636,0.503,0.461,22.33,1.58424,85
0.710344827586207,1,146.48125,-43.52875,145.63125,-42.35875,2.123885592,0.499,4.107,18.5,1.38581,152,3.295918738,0.516,3.21,16.83,1.40607,167
0.876777251184834,1,146.48125,-43.52875,147.88625,-42.35875,2.123885592,0.499,4.107,18.5,1.38581,152,0.620661501,0.515,2.414,22.26,1.6425,53
0.931034482758621,1,146.48125,-43.52875,146.96875,-42.31625,2.123885592,0.499,4.107,18.5,1.38581,152,0.570405207,0.52,-0.022,23,1.62184,64
0.824561403508772,1,146.48125,-43.52875,147.92125,-42.23125,2.123885592,0.499,4.107,18.5,1.38581,152,0.638924692,0.51,1.775,20.99,1.6425,53
0.948051948051948,1,146.48125,-43.52875,147.99375,-42.20375,2.123885592,0.499,4.107,18.5,1.38581,152,0.635130773,0.514,2.239,22.32,1.6425,53
0.885714285714286,1,146.48125,-43.52875,147.83125,-42.17125,2.123885592,0.499,4.107,18.5,1.38581,152,0.597829933,0.511,1.24,22.6,1.6425,53
0.904761904761905,1,146.48125,-43.52875,146.16875,-42.15125,2.123885592,0.499,4.107,18.5,1.38581,152,2.242868277,0.495,-0.203,19.73,0.828696,168
