Long,Lat,precip_PET_ratio,Isothermallity,Min_Temp_July,jan_rad,bulk_density,solpawhc
146.48125,-43.52875,2.123885592,0.499,4.107,18.5,1.38581,152
146.51125,-43.50875,2.070479249,0.507,4.081,17.87,1.38581,152
146.17625,-43.43125,2.468985109,0.519,4.079,18.35,1.38581,152
147.01125,-43.42125,1.100292644,0.526,4.269,21.48,1.44236,122
147.10125,-43.40625,0.996692081,0.522,4.816,21.65,1.6425,53
146.12875,-43.36875,2.491185095,0.518,4.018,18.03,1.38581,152
146.00125,-43.34125,2.353713622,0.519,4.396,18.5,1.38581,152
147.32125,-43.31875,0.998816754,0.512,5.272,21.4,1.6425,53
146.94625,-43.18625,1.26285868,0.514,2.303,20.83,1.57255,119
147.74875,-43.10375,0.88047153,0.507,5.467,21.14,1.6425,53
147.86375,-43.10375,0.911825273,0.511,5.879,21.47,1.6425,53
146.68625,-43.09625,1.691437025,0.517,2.079,19.37,1.44236,122
147.32625,-43.09125,0.661482546,0.518,4.617,22.51,1.6425,53
147.03125,-43.08625,0.86621729,0.523,2.349,22.14,1.57255,119
147.27875,-43.08625,0.877760781,0.511,3.885,21.33,1.6425,53
147.23875,-43.08375,0.968330046,0.509,3.497,21.13,1.57255,119
147.26875,-43.07875,0.726408531,0.518,4.144,22.73,1.57255,119
146.70375,-43.07375,1.68355893,0.499,1.853,20.53,1.44236,122
147.19875,-43.06125,1.265087889,0.495,2.704,20.5,1.6425,53
147.86875,-43.04875,0.857597563,0.51,5.594,20.82,1.6425,53
147.91875,-43.02375,0.890081958,0.506,5.43,20.82,1.6425,53
147.34375,-42.92375,0.925180711,0.499,2.876,21.44,1.6425,53
147.85375,-42.90875,0.962495155,0.496,4.159,21.11,1.6425,53
146.55125,-42.89875,2.181471614,0.457,0.426,18.66,1.44236,122
147.23125,-42.89875,1.633413579,0.399,-1.31,19.64,1.18117,176
147.41875,-42.88625,0.544216294,0.511,3.93,22.5,1.56246,87
147.40875,-42.87125,0.576932838,0.51,3.687,21.75,1.56246,87
147.17875,-42.84625,1.084317766,0.496,1.887,21.21,1.18117,176
147.41375,-42.84625,0.607938931,0.509,3.371,22.28,1.56246,87
147.40375,-42.83625,0.626867908,0.508,3.196,22.03,1.5612,103
