"dist","weights","X0","Y0","X1","Y1","site0.layer.1","site0.layer.2","site0.layer.3","site0.layer.4","site0.layer.5","site1.layer.1","site1.layer.2","site1.layer.3","site1.layer.4","site1.layer.5"
0.461139896373057,1,146.48125,-43.52875,146.51125,-43.50875,1.38581,0.509625,18.6575,4.38875,2.0318,1.38581,0.512875,18.32875,4.273125,2.006429
0.673202614379085,1,146.48125,-43.52875,146.17625,-43.43125,1.38581,0.509625,18.6575,4.38875,2.0318,1.38581,0.519,18.34813,4.285,2.474668
0.762886597938144,1,146.48125,-43.52875,147.01125,-43.42125,1.38581,0.509625,18.6575,4.38875,2.0318,1.44236,0.5228182,21.28182,4.259091,1.143947
0.67741935483871,1,146.48125,-43.52875,147.10125,-43.40625,1.38581,0.509625,18.6575,4.38875,2.0318,1.6425,0.522,21.68333,4.916667,0.9987391
0.615384615384615,1,146.48125,-43.52875,146.12875,-43.36875,1.38581,0.509625,18.6575,4.38875,2.0318,1.38581,0.514,17.865,4.145,2.521268
0.8875,1,146.48125,-43.52875,146.00125,-43.34125,1.38581,0.509625,18.6575,4.38875,2.0318,1.38581,0.5183334,18.21333,4.473333,2.369492
0.925465838509317,1,146.48125,-43.52875,147.32125,-43.31875,1.38581,0.509625,18.6575,4.38875,2.0318,1.6425,0.5142,21.714,5.438,0.9467497
0.949044585987261,1,146.48125,-43.52875,146.94625,-43.18625,1.38581,0.509625,18.6575,4.38875,2.0318,1.570465,0.5148125,20.89,2.433125,1.237278
0.969387755102041,1,146.48125,-43.52875,147.74875,-43.10375,1.38581,0.509625,18.6575,4.38875,2.0318,1.6425,0.5112727,21.65,5.747273,0.8085174
0.87378640776699,1,146.48125,-43.52875,147.86375,-43.10375,1.38581,0.509625,18.6575,4.38875,2.0318,1.6425,0.5101539,21.20692,5.966922,0.9253181
0.986301369863014,1,146.48125,-43.52875,146.68625,-43.09625,1.38581,0.509625,18.6575,4.38875,2.0318,1.44236,0.5188749,19.42188,2.261875,1.645359
0.954802259887006,1,146.48125,-43.52875,147.32625,-43.09125,1.38581,0.509625,18.6575,4.38875,2.0318,1.6425,0.5154,22.408,4.644,0.7069482
