Response,Weights,X0,Y0,X1,Y1,S0_isothermality_2010_1km,S0_jan_rad_2010_1km,S0_mintempjuly_2010_1km,S0_precip_pet_ratio_2010_1km,S1_isothermality_2010_1km,S1_jan_rad_2010_1km,S1_mintempjuly_2010_1km,S1_precip_pet_ratio_2010_1km
0.461140,1.000000,146.481250,-43.528750,146.511250,-43.508750,0.509625,18.657499,4.388750,2.031800,0.512875,18.328751,4.273125,2.006429
0.673203,1.000000,146.481250,-43.528750,146.176250,-43.431250,0.509625,18.657499,4.388750,2.031800,0.519000,18.348129,4.285000,2.474668
0.757322,1.000000,146.481250,-43.528750,147.011250,-43.421250,0.509625,18.657499,4.388750,2.031800,0.522818,21.281820,4.259091,1.143947
0.762887,1.000000,146.481250,-43.528750,147.101250,-43.406250,0.509625,18.657499,4.388750,2.031800,0.522000,21.683331,4.916667,0.998739
0.497207,1.000000,146.481250,-43.528750,146.128750,-43.368750,0.509625,18.657499,4.388750,2.031800,0.514000,17.865000,4.145000,2.521268
0.731544,1.000000,146.481250,-43.528750,146.001250,-43.341250,0.509625,18.657499,4.388750,2.031800,0.518333,18.213329,4.473333,2.369492
0.677419,1.000000,146.481250,-43.528750,147.321250,-43.318750,0.509625,18.657499,4.388750,2.031800,0.514200,21.714001,5.438000,0.946750
0.818182,1.000000,146.481250,-43.528750,146.946250,-43.186250,0.509625,18.657499,4.388750,2.031800,0.514813,20.889999,2.433125,1.237278
0.920398,1.000000,146.481250,-43.528750,147.748750,-43.103750,0.509625,18.657499,4.388750,2.031800,0.511273,21.650000,5.747273,0.808517
0.776744,1.000000,146.481250,-43.528750,147.863750,-43.103750,0.509625,18.657499,4.388750,2.031800,0.510154,21.206921,5.966922,0.925318
0.615385,1.000000,146.481250,-43.528750,146.686250,-43.096250,0.509625,18.657499,4.388750,2.031800,0.518875,19.421881,2.261875,1.645359
0.897143,1.000000,146.481250,-43.528750,147.326250,-43.091250,0.509625,18.657499,4.388750,2.031800,0.515400,22.408001,4.644000,0.706948
0.865285,1.000000,146.481250,-43.528750,147.031250,-43.086250,0.509625,18.657499,4.388750,2.031800,0.520062,21.640631,2.484375,0.940235
0.886256,1.000000,146.481250,-43.528750,147.278750,-43.086250,0.509625,18.657499,4.388750,2.031800,0.509000,21.674379,3.888750,0.921673
0.841860,1.000000,146.481250,-43.528750,147.238750,-43.083750,0.509625,18.657499,4.388750,2.031800,0.503313,20.780001,3.378125,1.091832
0.887500,1.000000,146.481250,-43.528750,147.268750,-43.078750,0.509625,18.657499,4.388750,2.031800,0.517875,22.637501,4.200000,0.741913
0.643836,1.000000,146.481250,-43.528750,146.703750,-43.073750,0.509625,18.657499,4.388750,2.031800,0.498937,20.201880,1.988125,1.687614
0.698795,1.000000,146.481250,-43.528750,147.198750,-43.061250,0.509625,18.657499,4.388750,2.031800,0.488000,19.909370,2.600625,1.347544
0.795122,1.000000,146.481250,-43.528750,147.868750,-43.048750,0.509625,18.657499,4.388750,2.031800,0.511750,21.342501,5.756250,0.831833
0.947020,1.000000,146.481250,-43.528750,147.918750,-43.023750,0.509625,18.657499,4.388750,2.031800,0.495313,20.506880,5.090000,0.995620
0.966102,1.000000,146.481250,-43.528750,147.343750,-42.923750,0.509625,18.657499,4.388750,2.031800,0.502813,21.023750,3.291250,0.817506
0.925466,1.000000,146.481250,-43.528750,147.853750,-42.908750,0.509625,18.657499,4.388750,2.031800,0.500188,20.754999,4.470000,0.911365
0.744444,1.000000,146.481250,-43.528750,146.551250,-42.898750,0.509625,18.657499,4.388750,2.031800,0.452750,19.418751,0.408125,2.209250
0.887006,1.000000,146.481250,-43.528750,147.231250,-42.898750,0.509625,18.657499,4.388750,2.031800,0.406750,19.161869,-0.895625,1.604383
0.986486,1.000000,146.481250,-43.528750,147.418750,-42.886250,0.509625,18.657499,4.388750,2.031800,0.510813,22.527500,4.028750,0.550138
0.962733,1.000000,146.481250,-43.528750,147.408750,-42.871250,0.509625,18.657499,4.388750,2.031800,0.509313,22.191250,3.713125,0.588825
0.892617,1.000000,146.481250,-43.528750,147.178750,-42.846250,0.509625,18.657499,4.388750,2.031800,0.495937,21.176880,1.984375,1.087370
0.986928,1.000000,146.481250,-43.528750,147.413750,-42.846250,0.509625,18.657499,4.388750,2.031800,0.508438,22.394381,3.492500,0.604838
0.949045,1.000000,146.481250,-43.528750,147.403750,-42.836250,0.509625,18.657499,4.388750,2.031800,0.507937,21.897499,3.345625,0.619288
0.862385,1.000000,146.481250,-43.528750,147.181250,-42.826250,0.509625,18.657499,4.388750,2.031800,0.508750,22.219999,2.373750,0.773983
0.906542,1.000000,146.481250,-43.528750,147.326250,-42.826250,0.509625,18.657499,4.388750,2.031800,0.510167,22.313330,3.565001,0.565681
