_ID,X,Y
1,146.705000,-43.557500
2,146.825000,-43.557500
3,146.085000,-43.437500
4,146.205000,-43.437500
5,146.325000,-43.437500
6,146.445000,-43.437500
7,146.565000,-43.437500
8,146.685000,-43.437500
9,146.805000,-43.437500
10,146.925000,-43.437500
11,147.175000,-43.437500
12,147.295000,-43.437500
13,145.845000,-43.317500
14,146.095000,-43.317500
15,146.215000,-43.317500
16,146.335000,-43.317500
17,146.455000,-43.317500
18,146.575000,-43.317500
19,146.695000,-43.317500
20,146.815000,-43.317500
21,146.935000,-43.317500
22,147.055000,-43.317500
23,147.305000,-43.317500
24,145.845000,-43.197500
25,145.965000,-43.197500
26,146.085000,-43.197500
27,146.205000,-43.197500
28,146.325000,-43.197500
29,146.445000,-43.197500
30,146.565000,-43.197500
31,146.685000,-43.197500
32,146.805000,-43.197500
33,146.925000,-43.197500
34,147.045000,-43.197500
35,147.165000,-43.197500
36,147.415000,-43.197500
37,147.785000,-43.197500
38,145.715000,-43.077500
39,145.835000,-43.077500
40,145.955000,-43.077500
41,146.075000,-43.077500
42,146.195000,-43.077500
43,146.315000,-43.077500
44,146.435000,-43.077500
45,146.555000,-43.077500
46,146.675000,-43.077500
47,146.795000,-43.077500
48,146.915000,-43.077500
49,147.035000,-43.077500
50,147.155000,-43.077500
51,147.275000,-43.077500
52,147.645000,-43.077500
53,147.765000,-43.077500
54,147.885000,-43.077500
55,145.595000,-42.957500
56,145.715000,-42.957500
57,145.835000,-42.957500
58,145.955000,-42.957500
59,146.075000,-42.957500
60,146.325000,-42.957500
61,146.445000,-42.957500
62,146.565000,-42.957500
63,146.685000,-42.957500
64,146.805000,-42.957500
65,146.925000,-42.957500
66,147.045000,-42.957500
67,147.165000,-42.957500
68,147.285000,-42.957500
69,147.535000,-42.957500
70,147.905000,-42.957500
71,145.465000,-42.837500
72,145.585000,-42.837500
73,145.705000,-42.837500
74,145.825000,-42.837500
75,145.945000,-42.837500
76,146.195000,-42.837500
77,146.315000,-42.837500
78,146.435000,-42.837500
79,146.555000,-42.837500
80,146.675000,-42.837500
81,146.795000,-42.837500
82,146.915000,-42.837500
83,147.035000,-42.837500
84,147.155000,-42.837500
85,147.275000,-42.837500
86,147.395000,-42.837500
87,147.515000,-42.837500
88,147.635000,-42.837500
89,147.755000,-42.837500
90,147.875000,-42.837500
91,145.465000,-42.717500
92,145.585000,-42.717500
93,145.705000,-42.717500
94,145.825000,-42.717500
95,145.945000,-42.717500
96,146.065000,-42.717500
97,146.315000,-42.717500
98,146.435000,-42.717500
99,146.555000,-42.717500
100,146.675000,-42.717500
101,146.795000,-42.717500
102,146.915000,-42.717500
103,147.035000,-42.717500
104,147.155000,-42.717500
105,147.275000,-42.717500
106,147.395000,-42.717500
107,147.515000,-42.717500
108,147.635000,-42.717500
109,147.755000,-42.717500
110,147.875000,-42.717500
111,145.345000,-42.597500
112,145.465000,-42.597500
113,145.585000,-42.597500
114,145.705000,-42.597500
115,145.825000,-42.597500
116,145.945000,-42.597500
117,146.065000,-42.597500
118,146.185000,-42.597500
119,146.305000,-42.597500
120,146.425000,-42.597500
121,146.545000,-42.597500
122,146.665000,-42.597500
123,146.785000,-42.597500
124,146.905000,-42.597500
125,147.025000,-42.597500
126,147.145000,-42.597500
127,147.265000,-42.597500
128,147.385000,-42.597500
129,147.505000,-42.597500
130,147.625000,-42.597500
131,147.745000,-42.597500
132,147.865000,-42.597500
133,148.115000,-42.597500
134,145.345000,-42.477500
135,145.465000,-42.477500
136,145.585000,-42.477500
137,145.705000,-42.477500
138,145.825000,-42.477500
139,145.945000,-42.477500
140,146.065000,-42.477500
141,146.185000,-42.477500
142,146.305000,-42.477500
143,146.425000,-42.477500
144,146.545000,-42.477500
145,146.665000,-42.477500
146,146.785000,-42.477500
147,146.905000,-42.477500
148,147.025000,-42.477500
149,147.145000,-42.477500
150,147.265000,-42.477500
151,147.385000,-42.477500
152,147.505000,-42.477500
153,147.625000,-42.477500
154,147.745000,-42.477500
155,147.865000,-42.477500
156,147.985000,-42.477500
157,145.225000,-42.357500
158,145.345000,-42.357500
159,145.595000,-42.357500
160,145.715000,-42.357500
161,145.835000,-42.357500
162,145.955000,-42.357500
163,146.075000,-42.357500
164,146.195000,-42.357500
165,146.315000,-42.357500
166,146.435000,-42.357500
167,146.555000,-42.357500
168,146.675000,-42.357500
169,146.795000,-42.357500
170,146.915000,-42.357500
171,147.035000,-42.357500
172,147.155000,-42.357500
173,147.275000,-42.357500
174,147.395000,-42.357500
175,147.515000,-42.357500
176,147.635000,-42.357500
177,147.755000,-42.357500
178,147.875000,-42.357500
179,147.995000,-42.357500
180,145.465000,-42.237500
181,145.585000,-42.237500
182,145.705000,-42.237500
183,145.825000,-42.237500
184,145.945000,-42.237500
185,146.065000,-42.237500
186,146.185000,-42.237500
187,146.305000,-42.237500
188,146.425000,-42.237500
189,146.545000,-42.237500
190,146.665000,-42.237500
191,146.785000,-42.237500
192,146.905000,-42.237500
193,147.025000,-42.237500
194,147.145000,-42.237500
195,147.265000,-42.237500
196,147.385000,-42.237500
197,147.505000,-42.237500
198,147.625000,-42.237500
199,147.745000,-42.237500
200,147.865000,-42.237500
201,147.985000,-42.237500
202,145.345000,-42.117500
203,145.465000,-42.117500
204,145.585000,-42.117500
205,145.705000,-42.117500
206,145.825000,-42.117500
207,145.945000,-42.117500
208,146.065000,-42.117500
209,146.185000,-42.117500
210,146.305000,-42.117500
211,146.425000,-42.117500
212,146.545000,-42.117500
213,146.665000,-42.117500
214,146.785000,-42.117500
215,146.905000,-42.117500
216,147.025000,-42.117500
217,147.145000,-42.117500
218,147.265000,-42.117500
219,147.385000,-42.117500
220,147.505000,-42.117500
221,147.625000,-42.117500
222,147.745000,-42.117500
223,147.865000,-42.117500
224,147.985000,-42.117500
225,145.225000,-41.997500
226,145.345000,-41.997500
227,145.465000,-41.997500
228,145.585000,-41.997500
229,145.705000,-41.997500
230,145.825000,-41.997500
231,145.945000,-41.997500
232,146.065000,-41.997500
233,146.185000,-41.997500
234,146.305000,-41.997500
235,146.425000,-41.997500
236,146.545000,-41.997500
237,146.665000,-41.997500
238,146.785000,-41.997500
239,147.035000,-41.997500
240,147.155000,-41.997500
241,147.275000,-41.997500
242,147.395000,-41.997500
243,147.515000,-41.997500
244,147.635000,-41.997500
245,147.755000,-41.997500
246,147.875000,-41.997500
247,147.995000,-41.997500
248,148.115000,-41.997500
249,145.225000,-41.877500
250,145.345000,-41.877500
251,145.465000,-41.877500
252,145.585000,-41.877500
253,145.705000,-41.877500
254,145.825000,-41.877500
255,145.945000,-41.877500
256,146.065000,-41.877500
257,146.185000,-41.877500
258,146.305000,-41.877500
259,146.425000,-41.877500
260,146.545000,-41.877500
261,146.665000,-41.877500
262,146.785000,-41.877500
263,146.905000,-41.877500
264,147.025000,-41.877500
265,147.145000,-41.877500
266,147.265000,-41.877500
267,147.385000,-41.877500
268,147.505000,-41.877500
269,147.625000,-41.877500
270,147.745000,-41.877500
271,147.865000,-41.877500
272,147.985000,-41.877500
273,148.105000,-41.877500
274,148.225000,-41.877500
