Observed,Predicted,Linked,Residual,Pearsons
0.658537,1.112340,0.671211,-0.012674,-0.026980
0.846847,1.997623,0.864343,-0.017496,-0.051093
0.949367,1.374005,0.746909,0.202458,0.465654
0.975758,2.239074,0.893443,0.082315,0.266781
0.932886,2.107436,0.878451,0.054435,0.166588
0.946309,1.429074,0.760469,0.185840,0.435429
0.933775,1.323588,0.733821,0.199954,0.452426
0.628743,1.170983,0.689938,-0.061195,-0.132308
0.854545,1.902436,0.850795,0.003750,0.010524
0.959184,1.396927,0.752644,0.206540,0.478683
0.851429,1.887952,0.848618,0.002811,0.007842
0.895425,2.011083,0.866156,0.029269,0.085962
0.740933,1.981744,0.862171,-0.121238,-0.351701
0.504762,1.201564,0.699276,-0.194514,-0.424173
0.870270,2.003337,0.865116,0.005154,0.015089
0.911950,2.053944,0.871772,0.040178,0.120170
0.727273,1.390836,0.751133,-0.023860,-0.055185
0.892617,2.008495,0.865809,0.026808,0.078647
0.883117,1.782006,0.831700,0.051417,0.137430
0.787709,2.221303,0.891532,-0.103823,-0.333869
0.834197,1.843221,0.841693,-0.007496,-0.020536
0.832461,1.782073,0.831711,0.000750,0.002004
0.870968,1.782114,0.831718,0.039250,0.104914
0.949045,1.983073,0.862354,0.086691,0.251622
0.887179,2.038655,0.869796,0.017383,0.051653
0.920000,1.830667,0.839693,0.080307,0.218885
0.867704,2.303230,0.900065,-0.032361,-0.107899
0.959732,1.937830,0.855984,0.103748,0.295489
0.741497,2.129145,0.881061,-0.139564,-0.431131
0.914110,1.976640,0.861466,0.052644,0.152388
0.665236,1.942689,0.856682,-0.191446,-0.546369
0.610390,1.562082,0.790301,-0.179911,-0.441940
0.850000,2.293624,0.899100,-0.049100,-0.163016
0.685185,2.099754,0.877513,-0.192328,-0.586641
0.727891,1.866876,0.845394,-0.117503,-0.325017
0.768889,2.587970,0.924828,-0.155939,-0.591417
0.688000,2.217511,0.891120,-0.203120,-0.652096
0.774510,2.301757,0.899917,-0.125407,-0.417870
0.837288,2.802829,0.939362,-0.102074,-0.427685
0.898305,2.784808,0.938259,-0.039954,-0.166002
0.910112,3.044529,0.952381,-0.042269,-0.198486
0.632353,1.082459,0.661239,-0.028886,-0.061032
0.729730,1.518164,0.780886,-0.051156,-0.123671
0.774011,1.675990,0.812877,-0.038866,-0.099654
0.530864,1.128839,0.676591,-0.145727,-0.311532
0.590909,1.095255,0.665546,-0.074637,-0.158196
0.680473,1.762238,0.828340,-0.147867,-0.392131
0.868613,1.513471,0.779856,0.088757,0.214212
0.913043,1.926836,0.854392,0.058651,0.166286
0.848485,1.848216,0.842482,0.006003,0.016478
0.683453,1.216776,0.703817,-0.020364,-0.044601
0.860759,1.950825,0.857843,0.002916,0.008349
0.897727,1.774757,0.830475,0.067252,0.179235
0.886598,1.746712,0.825654,0.060944,0.160630
0.888889,1.632811,0.804620,0.084269,0.212535
0.888112,1.931216,0.855028,0.033084,0.093969
0.705426,1.227372,0.706938,-0.001512,-0.003323
0.758389,1.503571,0.777665,-0.019276,-0.046358
0.808511,1.909818,0.851893,-0.043382,-0.122131
0.925373,1.755077,0.827106,0.098267,0.259859
0.937500,1.871871,0.846164,0.091336,0.253154
0.902778,1.781342,0.831588,0.071190,0.190230
0.656442,1.610643,0.800241,-0.143799,-0.359660
0.925000,2.717098,0.933934,-0.008934,-0.035966
1.000000,2.096304,0.877090,0.122910,0.374344
0.972222,2.054934,0.871899,0.100323,0.300187
0.893939,1.726688,0.822127,0.071812,0.187789
0.985294,2.068085,0.873572,0.111722,0.336176
0.942857,2.038288,0.869748,0.073109,0.217210
0.890547,1.953386,0.858207,0.032340,0.092708
0.939086,2.084644,0.875649,0.063437,0.192245
0.892216,1.922447,0.853751,0.038465,0.108856
0.955224,1.789868,0.833018,0.122206,0.327666
0.952663,1.942217,0.856614,0.096049,0.274060
0.791908,2.031667,0.868883,-0.076975,-0.228056
0.765625,1.403902,0.754363,0.011262,0.026162
0.955307,2.276425,0.897349,0.057958,0.190963
0.922652,2.229733,0.892443,0.030209,0.097505
0.968992,2.113087,0.879136,0.089856,0.275659
0.935065,1.954255,0.858330,0.076735,0.220053
0.947020,1.865296,0.845150,0.101870,0.281595
0.928994,1.892035,0.849235,0.079759,0.222902
0.952663,1.892068,0.849240,0.103423,0.289040
0.951220,2.295127,0.899251,0.051969,0.172656
0.968992,2.026516,0.868206,0.100786,0.297948
0.883598,1.996627,0.864208,0.019390,0.056603
0.967568,2.305718,0.900313,0.067255,0.224496
0.878788,1.971241,0.860716,0.018072,0.052194
0.906977,2.608002,0.926318,-0.019341,-0.074034
0.721683,1.818443,0.837722,-0.116039,-0.314719
0.893491,1.939188,0.856179,0.037312,0.106329
0.933333,1.984600,0.862564,0.070769,0.205539
0.962264,1.979760,0.861898,0.100366,0.290911
0.931818,1.983896,0.862468,0.069350,0.201361
0.964072,1.970384,0.860597,0.103475,0.298745
0.984496,1.983406,0.862400,0.122096,0.354435
0.984848,2.081683,0.875280,0.109568,0.331621
0.893443,2.083940,0.875561,0.017882,0.054174
0.920530,2.052349,0.871567,0.048963,0.146345
0.960526,2.234250,0.892928,0.067598,0.218620
0.926316,2.089285,0.876224,0.050092,0.152104
0.570370,1.488180,0.774217,-0.203847,-0.487558
0.918367,2.035815,0.869426,0.048941,0.145254
0.556886,1.240144,0.710658,-0.153772,-0.339109
0.867550,2.065190,0.873206,-0.005656,-0.016998
0.880000,2.091116,0.876451,0.003549,0.010786
0.962500,2.036447,0.869508,0.092992,0.276068
0.938650,2.239471,0.893485,0.045165,0.146404
0.828125,1.536814,0.784935,0.043190,0.105120
0.886598,2.116844,0.879589,0.007009,0.021537
0.936306,2.514605,0.919105,0.017201,0.063082
0.896104,2.116772,0.879580,0.016524,0.050772
0.927007,2.105840,0.878257,0.048750,0.149089
0.886076,2.218715,0.891251,-0.005175,-0.016623
0.880795,1.529102,0.783270,0.097525,0.236702
0.984615,2.221277,0.891529,0.093086,0.299336
0.956284,2.222986,0.891715,0.064569,0.207792
0.787500,1.437253,0.762420,0.025080,0.058927
0.969849,2.566045,0.923161,0.046688,0.175297
0.898551,2.204322,0.889675,0.008876,0.028332
0.884058,2.201599,0.889374,-0.005316,-0.016947
