_ID,X,Y
1,146.875000,-43.637500
2,146.535000,-43.567500
3,146.605000,-43.567500
4,146.675000,-43.567500
5,146.745000,-43.567500
6,146.815000,-43.567500
7,146.885000,-43.567500
8,146.045000,-43.497500
9,146.115000,-43.497500
10,146.185000,-43.497500
11,146.325000,-43.497500
12,146.395000,-43.497500
13,146.465000,-43.497500
14,146.535000,-43.497500
15,146.605000,-43.497500
16,146.675000,-43.497500
17,146.745000,-43.497500
18,146.815000,-43.497500
19,146.885000,-43.497500
20,147.295000,-43.497500
21,146.045000,-43.427500
22,146.115000,-43.427500
23,146.185000,-43.427500
24,146.255000,-43.427500
25,146.325000,-43.427500
26,146.395000,-43.427500
27,146.465000,-43.427500
28,146.535000,-43.427500
29,146.605000,-43.427500
30,146.675000,-43.427500
31,146.745000,-43.427500
32,146.815000,-43.427500
33,146.885000,-43.427500
34,146.955000,-43.427500
35,147.025000,-43.427500
36,147.095000,-43.427500
37,147.235000,-43.427500
38,147.305000,-43.427500
39,145.975000,-43.357500
40,146.045000,-43.357500
41,146.115000,-43.357500
42,146.185000,-43.357500
43,146.255000,-43.357500
44,146.325000,-43.357500
45,146.395000,-43.357500
46,146.465000,-43.357500
47,146.535000,-43.357500
48,146.605000,-43.357500
49,146.675000,-43.357500
50,146.745000,-43.357500
51,146.815000,-43.357500
52,146.955000,-43.357500
53,147.305000,-43.357500
54,147.375000,-43.357500
55,145.835000,-43.287500
56,145.905000,-43.287500
57,145.975000,-43.287500
58,146.045000,-43.287500
59,146.115000,-43.287500
60,146.185000,-43.287500
61,146.255000,-43.287500
62,146.325000,-43.287500
63,146.395000,-43.287500
64,146.465000,-43.287500
65,146.535000,-43.287500
66,146.605000,-43.287500
67,146.675000,-43.287500
68,146.745000,-43.287500
69,146.815000,-43.287500
70,146.885000,-43.287500
71,147.095000,-43.287500
72,147.305000,-43.287500
73,145.835000,-43.217500
74,145.905000,-43.217500
75,145.975000,-43.217500
76,146.045000,-43.217500
77,146.115000,-43.217500
78,146.185000,-43.217500
79,146.255000,-43.217500
80,146.325000,-43.217500
81,146.395000,-43.217500
82,146.465000,-43.217500
83,146.535000,-43.217500
84,146.605000,-43.217500
85,146.745000,-43.217500
86,146.885000,-43.217500
87,147.365000,-43.217500
88,147.775000,-43.217500
89,147.985000,-43.217500
90,145.765000,-43.147500
91,145.835000,-43.147500
92,145.905000,-43.147500
93,145.975000,-43.147500
94,146.045000,-43.147500
95,146.115000,-43.147500
96,146.185000,-43.147500
97,146.255000,-43.147500
98,146.325000,-43.147500
99,146.395000,-43.147500
100,146.465000,-43.147500
101,146.535000,-43.147500
102,146.605000,-43.147500
103,146.745000,-43.147500
104,146.815000,-43.147500
105,147.715000,-43.147500
106,147.855000,-43.147500
107,147.925000,-43.147500
108,147.995000,-43.147500
109,145.705000,-43.077500
110,145.775000,-43.077500
111,145.845000,-43.077500
112,145.915000,-43.077500
113,145.985000,-43.077500
114,146.055000,-43.077500
115,146.125000,-43.077500
116,146.195000,-43.077500
117,146.265000,-43.077500
