Response,Weights,X0,Y0,X1,Y1
0.890710,1.000000,146.481250,-43.528750,148.148750,-41.856250
0.808333,1.000000,146.481250,-43.528750,148.098750,-41.848750
0.892216,1.000000,146.481250,-43.528750,148.258750,-41.846250
0.866071,1.000000,146.481250,-43.528750,148.248750,-41.821250
0.959184,1.000000,146.481250,-43.528750,147.241250,-41.818750
1.000000,1.000000,146.481250,-43.528750,147.321250,-41.808750
0.872611,1.000000,146.481250,-43.528750,146.911250,-41.806250
0.962963,1.000000,146.481250,-43.528750,147.333750,-41.793750
0.646259,1.000000,146.481250,-43.528750,145.628750,-41.771250
0.952096,1.000000,146.481250,-43.528750,146.701250,-41.748750
0.974359,1.000000,146.481250,-43.528750,147.463750,-41.733750
0.721212,1.000000,146.481250,-43.528750,145.751250,-41.728750
0.865169,1.000000,146.481250,-43.528750,146.926250,-41.723750
0.949153,1.000000,146.481250,-43.528750,147.253750,-41.716250
0.849462,1.000000,146.481250,-43.528750,146.661250,-41.708750
0.885714,1.000000,146.481250,-43.528750,146.711250,-41.708750
0.924528,1.000000,146.481250,-43.528750,145.948750,-41.703750
0.896104,1.000000,146.481250,-43.528750,145.971250,-41.696250
0.960976,1.000000,146.481250,-43.528750,147.246250,-41.686250
0.950617,1.000000,146.481250,-43.528750,147.271250,-41.681250
0.812500,1.000000,146.481250,-43.528750,146.823750,-41.678750
0.867550,1.000000,146.481250,-43.528750,148.231250,-41.671250
0.835616,1.000000,146.481250,-43.528750,148.183750,-41.663750
0.862069,1.000000,146.481250,-43.528750,146.706250,-41.646250
0.945205,1.000000,146.481250,-43.528750,145.946250,-41.638750
0.910828,1.000000,146.481250,-43.528750,147.471250,-41.603750
0.861702,1.000000,146.481250,-43.528750,148.221250,-41.563750
0.898305,1.000000,146.481250,-43.528750,145.938750,-41.561250
0.944828,1.000000,146.481250,-43.528750,145.931250,-41.553750
0.838509,1.000000,146.481250,-43.528750,146.333750,-41.551250
0.957219,1.000000,146.481250,-43.528750,146.003750,-41.543750
0.932886,1.000000,146.481250,-43.528750,148.106250,-41.521250
0.930233,1.000000,146.481250,-43.528750,147.101250,-41.503750
0.943060,1.000000,146.481250,-43.528750,147.133750,-41.468750
0.658537,1.000000,146.481250,-43.528750,145.218750,-41.463750
0.846847,1.000000,146.481250,-43.528750,147.493750,-41.463750
0.949367,1.000000,146.481250,-43.528750,145.683750,-41.453750
0.975758,1.000000,146.481250,-43.528750,147.116250,-41.448750
0.932886,1.000000,146.481250,-43.528750,148.251250,-41.446250
0.946309,1.000000,146.481250,-43.528750,145.601250,-41.436250
0.933775,1.000000,146.481250,-43.528750,145.811250,-41.436250
0.628743,1.000000,146.481250,-43.528750,145.356250,-41.416250
0.854545,1.000000,146.481250,-43.528750,146.666250,-41.388750
0.959184,1.000000,146.481250,-43.528750,145.576250,-41.371250
0.851429,1.000000,146.481250,-43.528750,147.321250,-41.371250
0.895425,1.000000,146.481250,-43.528750,146.593750,-41.366250
0.740933,1.000000,146.481250,-43.528750,146.826250,-41.366250
0.504762,1.000000,146.481250,-43.528750,145.013750,-41.328750
0.870270,1.000000,146.481250,-43.528750,146.648750,-41.323750
0.911950,1.000000,146.481250,-43.528750,146.438750,-41.286250
0.727273,1.000000,146.481250,-43.528750,145.608750,-41.281250
0.892617,1.000000,146.481250,-43.528750,147.153750,-41.263750
0.883117,1.000000,146.481250,-43.528750,147.108750,-41.261250
0.787709,1.000000,146.481250,-43.528750,146.606250,-41.258750
0.834197,1.000000,146.481250,-43.528750,147.091250,-41.258750
0.832461,1.000000,146.481250,-43.528750,147.103750,-41.258750
0.870968,1.000000,146.481250,-43.528750,147.106250,-41.258750
0.949045,1.000000,146.481250,-43.528750,147.161250,-41.258750
0.887179,1.000000,146.481250,-43.528750,146.893750,-41.216250
