distance,weights,Site1.X,YLat,Site2.X,Site2.Y,site1.Pred_01,site1.Pred_02,site1.Pred_03,site1.Pred_04,site1.Pred_05,site1.Pred_06,site1.Pred_07,site1.Pred_08,site1.Pred_09,site1.Pred_10,site1.Pred_11,site1.Pred_12,site1.Pred_13,site1.Pred_14,site1.Pred_15,site1.Pred_16,site1.Pred_17,site1.Pred_18,site1.Pred_19,site1.Pred_20,site1.Pred_21,site1.Pred_22,site1.Pred_23,site1.Pred_24,site1.Pred_25,site1.Pred_26,site1.Pred_27,site1.Pred_28,site1.Pred_29,site1.Pred_30,site1.Pred_31,site1.Pred_32,site1.Pred_33,site1.Pred_34,site1.Pred_35,site1.Pred_36,site2.Pred_01,site2.Pred_02,site2.Pred_03,site2.Pred_04,site2.Pred_05,site2.Pred_06,site2.Pred_07,site2.Pred_08,site2.Pred_09,site2.Pred_10,site2.Pred_11,site2.Pred_12,site2.Pred_13,site2.Pred_14,site2.Pred_15,site2.Pred_16,site2.Pred_17,site2.Pred_18,site2.Pred_19,site2.Pred_20,site2.Pred_21,site2.Pred_22,site2.Pred_23,site2.Pred_24,site2.Pred_25,site2.Pred_26,site2.Pred_27,site2.Pred_28,site2.Pred_29,site2.Pred_30,site2.Pred_31,site2.Pred_32,site2.Pred_33,site2.Pred_34,site2.Pred_35,site2.Pred_36
0.653954235,1,278.583333,27.2,274.7864,41.6237,54.72532272,173.3628845,106.4244843,78.48526001,5.099925041,18.45709801,12.38752079,13.01665211,16.13248062,27.72379303,22.77569199,21.63774109,0.195334941,0.698342204,0.132793516,0.312890142,9.708731651,22.3351841,17.68086433,14.46780777,0.465187132,0.265640795,0.204192132,0.632325649,22.58291054,33.59653091,29.07146835,27.99706841,0.597908318,0.591088116,0.137510046,0.526079297,12.26384735,4.757602692,23.88779831,49.68157578,42.7888298,71.75028992,70.49916077,70.17221069,3.680454731,11.38984013,9.865767479,6.223461151,-10.62238121,21.00255585,6.114371777,4.108467102,0.231616676,0.459176451,0.506644905,0.599992812,-18.69215393,14.15281868,-1.109514475,-3.448199749,0.55487895,0.338188648,0.31551674,0.628151596,-5.007179737,28.63306618,13.00380516,9.815898895,0.376611829,0.411663622,0.499877483,0.506207228,13.88566017,12.9368515,47.3252182,21.98294067
0.727496855,1,278.583333,27.2,280.383611,38.154722,54.72532272,173.3628845,106.4244843,78.48526001,5.099925041,18.45709801,12.38752079,13.01665211,16.13248062,27.72379303,22.77569199,21.63774109,0.195334941,0.698342204,0.132793516,0.312890142,9.708731651,22.3351841,17.68086433,14.46780777,0.465187132,0.265640795,0.204192132,0.632325649,22.58291054,33.59653091,29.07146835,27.99706841,0.597908318,0.591088116,0.137510046,0.526079297,12.26384735,4.757602692,23.88779831,49.68157578,84.35141754,116.4673691,92.01792145,102.633667,6.458625317,7.202629089,10.89787769,4.189743996,-4.676124096,20.41870689,7.61541748,6.555421352,0.15377079,0.372371644,0.27949959,0.363442034,-12.67421818,12.71239567,0.08475814,-0.289028317,0.533046722,0.210007757,0.327073157,0.4297584,1.094993114,28.95391655,15.67284489,13.90473175,0.688170314,0.546569407,0.562680781,0.982948542,14.94814491,10.26409054,41.62813568,14.08274937
0.846864024,1,278.583333,27.2,299.325,45.651389,54.72532272,173.3628845,106.4244843,78.48526001,5.099925041,18.45709801,12.38752079,13.01665211,16.13248062,27.72379303,22.77569199,21.63774109,0.195334941,0.698342204,0.132793516,0.312890142,9.708731651,22.3351841,17.68086433,14.46780777,0.465187132,0.265640795,0.204192132,0.632325649,22.58291054,33.59653091,29.07146835,27.99706841,0.597908318,0.591088116,0.137510046,0.526079297,12.26384735,4.757602692,23.88779831,49.68157578,87.05199432,83.33106232,116.629837,87.21743774,9.992618561,8.276116371,9.603645325,8.989116669,-13.21771717,13.72098827,4.917297363,-1.024770141,0.206888974,0.593703389,0.205943137,0.274607509,-20.18881416,9.370539665,0.213465348,-7.251410961,0.436472744,0.250902861,0.452994168,0.413709939,-2.7122159,18.70921135,9.816059113,4.156450272,1.172495365,0.22766903,0.330492198,0.374591619,11.95643139,11.30446434,38.89802551,16.55216789
0.665596146,1,278.583333,27.2,271.656667,40.675833,54.72532272,173.3628845,106.4244843,78.48526001,5.099925041,18.45709801,12.38752079,13.01665211,16.13248062,27.72379303,22.77569199,21.63774109,0.195334941,0.698342204,0.132793516,0.312890142,9.708731651,22.3351841,17.68086433,14.46780777,0.465187132,0.265640795,0.204192132,0.632325649,22.58291054,33.59653091,29.07146835,27.99706841,0.597908318,0.591088116,0.137510046,0.526079297,12.26384735,4.757602692,23.88779831,49.68157578,45.71107101,79.85851288,74.51247406,80.15501404,3.490045309,7.712909222,7.6130023,6.909678459,-9.930156708,22.8572216,7.336518288,5.699034214,0.214958444,0.574218988,0.420123219,0.581890464,-18.10271072,16.11821747,0.272208512,-1.064423442,0.551302612,0.412018806,0.233817071,0.714652181,-5.536468029,30.50103569,13.81941986,11.59115887,0.533989966,0.908640623,0.458968043,0.423142165,13.28796387,13.40211105,48.60374832,23.46286774
0.333801827,1,278.583333,27.2,281.046389,33.798611,54.72532272,173.3628845,106.4244843,78.48526001,5.099925041,18.45709801,12.38752079,13.01665211,16.13248062,27.72379303,22.77569199,21.63774109,0.195334941,0.698342204,0.132793516,0.312890142,9.708731651,22.3351841,17.68086433,14.46780777,0.465187132,0.265640795,0.204192132,0.632325649,22.58291054,33.59653091,29.07146835,27.99706841,0.597908318,0.591088116,0.137510046,0.526079297,12.26384735,4.757602692,23.88779831,49.68157578,92.50340271,160.0122528,101.2690811,92.23096466,9.29686451,8.574917793,13.74543476,7.851664543,5.995591164,26.7704525,16.50066948,15.46405315,0.20274505,0.368876636,0.205016792,0.289381355,-0.217475757,21.08803749,10.11234188,8.632056236,0.613299966,0.26359579,0.271229208,0.439962089,12.50987148,33.18085861,23.58781242,21.9976635,0.979429483,0.632425368,0.277666777,0.495789289,12.91531086,8.4950037,33.3983345,29.24579048
0.807196266,1,278.583333,27.2,292.1265,46.2912,54.72532272,173.3628845,106.4244843,78.48526001,5.099925041,18.45709801,12.38752079,13.01665211,16.13248062,27.72379303,22.77569199,21.63774109,0.195334941,0.698342204,0.132793516,0.312890142,9.708731651,22.3351841,17.68086433,14.46780777,0.465187132,0.265640795,0.204192132,0.632325649,22.58291054,33.59653091,29.07146835,27.99706841,0.597908318,0.591088116,0.137510046,0.526079297,12.26384735,4.757602692,23.88779831,49.68157578,62.07448196,86.23993683,80.50260925,71.0936203,11.85305405,5.453095913,7.481833458,8.934754372,-22.08339691,13.56606483,-2.016598701,-5.002925873,0.194626465,0.544394791,0.318489522,0.201942667,-26.3931942,7.917626381,-9.145380974,-11.58034897,0.756938517,0.506734312,0.49482742,0.353867412,-11.02323723,19.1680603,4.032344341,-2.970425129,0.624202728,0.477380633,0.728349328,0.308157474,12.10200977,14.61120605,45.56125259,14.17652988
0.664412045,1,278.583333,27.2,260.093611,44.836111,54.72532272,173.3628845,106.4244843,78.48526001,5.099925041,18.45709801,12.38752079,13.01665211,16.13248062,27.72379303,22.77569199,21.63774109,0.195334941,0.698342204,0.132793516,0.312890142,9.708731651,22.3351841,17.68086433,14.46780777,0.465187132,0.265640795,0.204192132,0.632325649,22.58291054,33.59653091,29.07146835,27.99706841,0.597908318,0.591088116,0.137510046,0.526079297,12.26384735,4.757602692,23.88779831,49.68157578,9.828540802,72.31739807,27.0179615,46.3757515,1.481396079,10.33478355,6.412847996,7.102482796,-12.83607578,22.81341362,6.595121861,3.568110704,0.189380199,0.756391108,0.578764319,1.052389622,-19.94661522,15.75660419,-2.38402319,-3.001450539,0.527213395,0.466044307,0.162638739,0.721528113,-6.284313679,31.36374664,12.56034374,12.46090126,0.492507219,1.705382228,0.494257092,0.702432752,14.91904068,14.60631275,51.31035995,68.98880768
0.609650883,1,278.583333,27.2,271.636667,42.235278,54.72532272,173.3628845,106.4244843,78.48526001,5.099925041,18.45709801,12.38752079,13.01665211,16.13248062,27.72379303,22.77569199,21.63774109,0.195334941,0.698342204,0.132793516,0.312890142,9.708731651,22.3351841,17.68086433,14.46780777,0.465187132,0.265640795,0.204192132,0.632325649,22.58291054,33.59653091,29.07146835,27.99706841,0.597908318,0.591088116,0.137510046,0.526079297,12.26384735,4.757602692,23.88779831,49.68157578,37.33327484,74.34129333,69.75613403,68.80142975,4.671377182,12.77617168,10.48095894,8.849843025,-13.11086655,21.08006287,5.321578026,3.081921816,0.184432879,0.74297905,0.450428188,0.79258579,-21.13495636,14.45269585,-1.464027166,-4.016338825,0.593607664,0.509658098,0.314122587,0.405113071,-8.439124107,28.6581974,11.56520176,7.700285435,0.433831483,0.572612941,0.307438701,0.827259004,12.91179657,13.9888649,49.79315567,27.157938
0.604576475,1,278.583333,27.2,279.633333,43.233333,54.72532272,173.3628845,106.4244843,78.48526001,5.099925041,18.45709801,12.38752079,13.01665211,16.13248062,27.72379303,22.77569199,21.63774109,0.195334941,0.698342204,0.132793516,0.312890142,9.708731651,22.3351841,17.68086433,14.46780777,0.465187132,0.265640795,0.204192132,0.632325649,22.58291054,33.59653091,29.07146835,27.99706841,0.597908318,0.591088116,0.137510046,0.526079297,12.26384735,4.757602692,23.88779831,49.68157578,51.00430679,64.69468689,73.32794952,60.9068718,5.563383102,6.892653465,7.60652113,5.725379944,-13.53011131,17.64974976,2.860222101,0.158165604,0.135423005,0.451991975,0.398460001,0.646798193,-19.24433136,11.82247066,-4.552587986,-6.725757122,0.341718316,0.277629644,0.39703694,0.339098155,-5.920197964,24.73000717,9.226344109,5.08311224,0.416420966,0.398435861,0.527143598,0.931157112,12.95486832,12.78078747,43.97433853,14.80569363
0.650233211,1,278.583333,27.2,270.2744,43.4273,54.72532272,173.3628845,106.4244843,78.48526001,5.099925041,18.45709801,12.38752079,13.01665211,16.13248062,27.72379303,22.77569199,21.63774109,0.195334941,0.698342204,0.132793516,0.312890142,9.708731651,22.3351841,17.68086433,14.46780777,0.465187132,0.265640795,0.204192132,0.632325649,22.58291054,33.59653091,29.07146835,27.99706841,0.597908318,0.591088116,0.137510046,0.526079297,12.26384735,4.757602692,23.88779831,49.68157578,26.47146034,71.12831116,65.45718384,62.16965866,2.254705429,12.00041866,7.102199078,6.832650185,-15.67564869,20.41895103,3.541305304,1.987089515,0.192129463,1.01994288,0.505595028,0.80848074,-23.6565361,13.40712357,-3.61020875,-5.539553642,0.637004614,0.681699872,0.452787519,0.483711898,-10.57279396,28.92716408,9.715643883,6.587973595,0.459468067,1.153263211,0.481042415,0.580968022,13.51429081,14.75095367,52.58370209,35.9307251
