response,weights,Site1.X,Site1.Y,Site2.X,Site2.Y,site1.Pred_01,site1.Pred_02,site1.Pred_03,site1.Pred_04,site2.Pred_01,site2.Pred_02,site2.Pred_03,site2.Pred_04
0.653954235,1,278.583333,27.2,274.7864,41.6237,54.72532272,173.3628845,106.4244843,78.48526001,42.7888298,71.75028992,70.49916077,70.17221069
0.727496855,1,278.583333,27.2,280.383611,38.154722,54.72532272,173.3628845,106.4244843,78.48526001,84.35141754,116.4673691,92.01792145,102.633667
0.846864024,1,278.583333,27.2,299.325,45.651389,54.72532272,173.3628845,106.4244843,78.48526001,87.05199432,83.33106232,116.629837,87.21743774
0.665596146,1,278.583333,27.2,271.656667,40.675833,54.72532272,173.3628845,106.4244843,78.48526001,45.71107101,79.85851288,74.51247406,80.15501404
0.333801827,1,278.583333,27.2,281.046389,33.798611,54.72532272,173.3628845,106.4244843,78.48526001,92.50340271,160.0122528,101.2690811,92.23096466
0.807196266,1,278.583333,27.2,292.1265,46.2912,54.72532272,173.3628845,106.4244843,78.48526001,62.07448196,86.23993683,80.50260925,71.0936203
0.664412045,1,278.583333,27.2,260.093611,44.836111,54.72532272,173.3628845,106.4244843,78.48526001,9.828540802,72.31739807,27.0179615,46.3757515
0.609650883,1,278.583333,27.2,271.636667,42.235278,54.72532272,173.3628845,106.4244843,78.48526001,37.33327484,74.34129333,69.75613403,68.80142975
0.604576475,1,278.583333,27.2,279.633333,43.233333,54.72532272,173.3628845,106.4244843,78.48526001,51.00430679,64.69468689,73.32794952,60.9068718
0.650233211,1,278.583333,27.2,270.2744,43.4273,54.72532272,173.3628845,106.4244843,78.48526001,26.47146034,71.12831116,65.45718384,62.16965866
0.565370138,1,278.583333,27.2,281.9319,43.0977,54.72532272,173.3628845,106.4244843,78.48526001,43.54244995,61.86990738,64.45833588,55.09576416
0.762565773,1,278.583333,27.2,256.375833,48.606944,54.72532272,173.3628845,106.4244843,78.48526001,10.65749168,57.1475029,26.86845779,29.62945938
0.647064727,1,278.583333,27.2,293.920833,44.263889,54.72532272,173.3628845,106.4244843,78.48526001,98.34510803,86.33005524,102.4530182,90.29051208
0.683273842,1,278.583333,27.2,261.841667,46.8575,54.72532272,173.3628845,106.4244843,78.48526001,11.50860786,65.2003479,35.11329651,43.70420837
0.743952625,1,278.583333,27.2,291.9129,44.6342,54.72532272,173.3628845,106.4244843,78.48526001,73.74851227,80.29096985,90.52172852,72.80158997
0.800425605,1,278.583333,27.2,266.589,44.5938,54.72532272,173.3628845,106.4244843,78.48526001,19.01685524,70.87601471,47.69622803,56.76383591
0.765502709,1,278.583333,27.2,292.669444,45.255556,54.72532272,173.3628845,106.4244843,78.48526001,81.89266968,81.20903015,94.86753082,77.86894989
0.664827448,1,278.583333,27.2,265.316,46.974,54.72532272,173.3628845,106.4244843,78.48526001,13.36180687,67.17084503,44.55718231,46.36514664
0.208256285,1,278.583333,27.2,278.5,27.583333,54.72532272,173.3628845,106.4244843,78.48526001,54.72532272,173.3628845,106.4244843,78.48526001
0.577299413,1,278.583333,27.2,285.092,41.002,54.72532272,173.3628845,106.4244843,78.48526001,80.75092316,117.5468216,96.56397247,101.5024872
0.8576227,1,274.7864,41.6237,280.383611,38.154722,42.7888298,71.75028992,70.49916077,70.17221069,84.35141754,116.4673691,92.01792145,102.633667
0.700729927,1,274.7864,41.6237,299.325,45.651389,42.7888298,71.75028992,70.49916077,70.17221069,87.05199432,83.33106232,116.629837,87.21743774
0.7529,1,274.7864,41.6237,271.656667,40.675833,42.7888298,71.75028992,70.49916077,70.17221069,45.71107101,79.85851288,74.51247406,80.15501404
0.745623687,1,274.7864,41.6237,281.046389,33.798611,42.7888298,71.75028992,70.49916077,70.17221069,92.50340271,160.0122528,101.2690811,92.23096466
0.721386069,1,274.7864,41.6237,292.1265,46.2912,42.7888298,71.75028992,70.49916077,70.17221069,62.07448196,86.23993683,80.50260925,71.0936203
0.752982877,1,274.7864,41.6237,260.093611,44.836111,42.7888298,71.75028992,70.49916077,70.17221069,9.828540802,72.31739807,27.0179615,46.3757515
