Class,X,Y,XTran,YTran,isothermality_2010_1kmTran,jan_rad_2010_1kmTran,mintempjuly_2010_1kmTran,precip_pet_ratio_2010_1kmTran
5,146.445000,-42.957500,0.289426,0.438524,0.456486,0.106794,0.388596,1.382730
4,146.565000,-42.957500,0.302582,0.438524,1.021727,0.189682,0.579827,0.982167
5,146.685000,-42.957500,0.315738,0.438524,0.475972,0.177420,0.360165,1.130120
7,146.805000,-42.957500,0.328893,0.438524,1.024159,0.206960,0.561314,0.547494
7,146.925000,-42.957500,0.342049,0.438524,1.005182,0.197297,0.563137,0.584276
7,147.045000,-42.957500,0.355205,0.438524,1.020320,0.199784,0.582570,0.505807
7,147.165000,-42.957500,0.368360,0.438524,0.981171,0.185438,0.585858,0.676594
7,147.285000,-42.957500,0.381516,0.438524,1.022760,0.207009,0.652466,0.234681
7,147.535000,-42.957500,0.408924,0.438524,1.026461,0.261959,0.704825,0.091340
7,147.905000,-42.957500,0.449487,0.438524,1.019274,0.202835,0.720991,0.364646
4,145.465000,-42.837500,0.181988,0.425369,1.018024,0.156207,0.708844,1.233444
4,145.585000,-42.837500,0.195143,0.425369,1.017737,0.135645,0.688724,1.346493
4,145.705000,-42.837500,0.208299,0.425369,0.983890,0.075471,0.650717,1.546494
4,145.825000,-42.837500,0.221455,0.425369,1.022874,0.135230,0.670953,1.386117
4,145.945000,-42.837500,0.234611,0.425369,0.979648,0.075802,0.628079,1.576102
4,146.195000,-42.837500,0.262018,0.425369,1.000782,0.147491,0.602038,1.380033
4,146.315000,-42.837500,0.275174,0.425369,0.956299,0.157779,0.548067,1.346114
4,146.435000,-42.837500,0.288330,0.425369,1.010780,0.183577,0.557772,1.156748
4,146.555000,-42.837500,0.301486,0.425369,1.000602,0.189441,0.530079,1.080195
4,146.675000,-42.837500,0.314641,0.425369,0.920715,0.194948,0.475949,0.958932
4,146.795000,-42.837500,0.327797,0.425369,0.909245,0.200692,0.477730,0.804466
7,146.915000,-42.837500,0.340953,0.425369,1.020356,0.208709,0.547660,0.430055
7,147.035000,-42.837500,0.354108,0.425369,1.027684,0.264318,0.568698,0.251494
7,147.155000,-42.837500,0.367264,0.425369,0.965848,0.201786,0.544679,0.630075
7,147.275000,-42.837500,0.380420,0.425369,1.024475,0.367712,0.648463,0.099590
7,147.395000,-42.837500,0.393576,0.425369,1.021055,0.206998,0.632661,0.171144
7,147.515000,-42.837500,0.406731,0.425369,1.028992,0.300605,0.672187,0.040919
7,147.635000,-42.837500,0.419887,0.425369,1.028869,0.230136,0.682641,0.105312
7,147.755000,-42.837500,0.433043,0.425369,1.025994,0.209348,0.691983,0.198294
7,147.875000,-42.837500,0.446199,0.425369,1.033323,0.214104,0.719760,0.159291
4,145.465000,-42.717500,0.181988,0.412213,1.021946,0.152544,0.715492,1.255355
4,145.585000,-42.717500,0.195143,0.412213,1.018024,0.100675,0.676212,1.466820
4,145.705000,-42.717500,0.208299,0.412213,0.782431,0.027347,0.582533,1.658067
4,145.825000,-42.717500,0.221455,0.412213,1.025425,0.113420,0.661035,1.457909
4,145.945000,-42.717500,0.234611,0.412213,0.818443,0.077778,0.536858,1.638005
4,146.065000,-42.717500,0.247766,0.412213,0.986850,0.090116,0.600730,1.552813
4,146.315000,-42.717500,0.275174,0.412213,1.019381,0.181508,0.564128,1.189970
4,146.435000,-42.717500,0.288330,0.412213,1.009459,0.183241,0.513408,1.140232
4,146.555000,-42.717500,0.301486,0.412213,0.961014,0.144904,0.448064,1.052845
7,146.675000,-42.717500,0.314641,0.412213,1.032862,0.204188,0.531938,0.597532
7,146.795000,-42.717500,0.327797,0.412213,1.016880,0.207283,0.506400,0.554214
7,146.915000,-42.717500,0.340953,0.412213,1.033478,0.333343,0.544054,0.131597
7,147.035000,-42.717500,0.354108,0.412213,1.007032,0.206046,0.518520,0.430275
7,147.155000,-42.717500,0.367264,0.412213,1.024723,0.226086,0.579827,0.154424
7,147.275000,-42.717500,0.380420,0.412213,1.031109,0.283404,0.619539,0.071355
7,147.395000,-42.717500,0.393576,0.412213,1.036620,0.243686,0.631762,0.047156
7,147.515000,-42.717500,0.406731,0.412213,1.038416,0.254945,0.643009,0.049436
7,147.635000,-42.717500,0.419887,0.412213,1.017882,0.203442,0.614274,0.315040
7,147.755000,-42.717500,0.433043,0.412213,1.019486,0.205006,0.632770,0.337395
7,147.875000,-42.717500,0.446199,0.412213,1.005498,0.200677,0.632034,0.391674
4,145.345000,-42.597500,0.168832,0.399057,1.019916,0.154736,0.721624,1.274676
4,145.465000,-42.597500,0.181988,0.399057,1.023787,0.142377,0.708682,1.329453
4,145.585000,-42.597500,0.195143,0.399057,1.004539,0.055931,0.645599,1.591310
4,145.705000,-42.597500,0.208299,0.399057,1.019685,0.087747,0.642617,1.588844
